I
1100 Version - data cycle 2108, build 20210821, metadata FixXP1100. Created by Little Navmap Version 2.6.16 (revision d85e1a4a).

52.34333300 21.22777700 EPBCD ENRT EP
52.26083300 20.73555500 EPBCF ENRT EP
52.37777700 20.91666600 EPBCJ ENRT EP
52.33333300 20.88333300 EPBCL ENRT EP
52.30472200 21.08388800 EPBCP ENRT EP
52.97249985 17.72277832 EPBYK ENRT EP
53.22360992 18.03694534 EPBYM ENRT EP
53.17610931 18.05638885 EPBYN ENRT EP
53.13972092 17.59166336 EPBYO ENRT EP
53.05250168 17.99611092 EPBYS ENRT EP
53.20777512 18.37861061 EPBYU ENRT EP
52.97611237 18.09944534 EPBYW ENRT EP
51.02861100 23.22083300 EPCDK ENRT EP
51.14611100 23.43805500 EPCDM ENRT EP
51.12138800 23.22916600 EPCDR ENRT EP
51.01861100 23.37083300 EPCDZ ENRT EP
54.37444400 18.77888800 EPGDG ENRT EP
54.47111100 18.30972200 EPGDI ENRT EP
54.44472200 18.54444400 EPGDM ENRT EP
54.27611100 18.48944400 EPGDX ENRT EP
54.32500000 18.18361100 EPGDZ ENRT EP
53.43802700 18.94416600 EPGIE ENRT EP
53.61083300 18.94638800 EPGIG ENRT EP
53.48388800 18.73972200 EPGIM ENRT EP
53.55527700 18.76555500 EPGIO ENRT EP
53.52333300 18.95555500 EPGIR ENRT EP
52.85611100 18.19888800 EPINJ ENRT EP
52.67722200 18.00750000 EPINM ENRT EP
52.89416600 18.31611100 EPINN ENRT EP
52.83388800 18.65361100 EPINP ENRT EP
52.63138800 18.53500000 EPINR ENRT EP
52.73194400 18.26972200 EPINS ENRT EP
52.81416600 18.47166600 EPINW ENRT EP
52.90333300 18.14111100 EPINZ ENRT EP
50.96111100 15.79638800 EPJSA ENRT EP
50.87472200 15.92000000 EPJSJ ENRT EP
50.96361100 15.64500000 EPJSP ENRT EP
50.82944400 15.70722200 EPJSS ENRT EP
50.93833300 15.90916600 EPJSW ENRT EP
50.88388800 15.81111100 EPJSZ ENRT EP
50.80166600 20.80583300 EPKAD ENRT EP
50.90833300 20.57972200 EPKAK ENRT EP
50.84138800 20.64194400 EPKAT ENRT EP
50.84527700 20.85722200 EPKAW ENRT EP
50.97472200 20.66083300 EPKAZ ENRT EP
50.04194400 20.09777700 EPKCE ENRT EP
54.02555500 21.21722200 EPKEW ENRT EP
53.95333300 21.37138800 EPKES ENRT EP
